Rk,Player,Type,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,RefName
332,Greg Monroe,Projected,5.9,11.7,0.8,2.4,2.3,3.8,3.7,9.3,3.9,1.3,1.3,2.2,3.8,15,0.506,0.351,0.618,monrogr01
325,Grayson Allen,Projected,5.2,11.6,3.1,7.6,1.6,1.9,0.7,4.6,2.4,1,0.3,1.1,2,15,0.445,0.404,0.857,allengr01
328,Josh Hart,Projected,5.3,11,1.6,4.8,2.7,3.6,1.3,8.4,3.9,1.2,0.3,2,3,15,0.483,0.342,0.762,hartjo01
334,Jakob Poeltl,Projected,6.6,10.9,0.1,0.3,1.6,3.1,4.4,11.1,3.2,0.9,2.2,1.9,3.7,15,0.61,0.39,0.513,poeltja01
341,Josh Giddey,Projected,6.2,14,1.3,4.5,1.3,1.8,2.1,9,7.2,1.1,0.5,3.4,1.9,14.9,0.439,0.285,0.732,giddejo01
348,Robert Woodard II,Projected,5.4,13.5,1.6,4.8,2.4,3.3,2.2,7.9,3.3,1,0.9,1.7,2.8,14.9,0.403,0.335,0.729,woodaro01
343,Justin Jackson,Projected,5.4,13.1,2,6.4,2,2.4,1.1,5.5,2.9,0.8,0.3,1.6,2.4,14.9,0.414,0.319,0.826,jacksju01
347,Myles Powell,Projected,5.5,12.8,1.6,5,2.3,2.8,1.4,6.1,3.3,1,0.5,2,3.5,14.9,0.431,0.322,0.806,powelmy01
339,Eric Bledsoe,Projected,5.4,12.8,1.7,5.1,2.4,3.3,0.7,4.8,5.4,1.4,0.5,2.6,2.2,14.9,0.425,0.326,0.735,bledser01
337,Jose Alvarado,Projected,5.8,12.7,1.5,4.8,1.7,2.5,1.2,4.8,6.2,2.8,0.4,1.8,3.1,14.9,0.456,0.309,0.707,alvarjo01
338,Lonzo Ball,Projected,5.4,12.6,3.2,8,0.9,1.2,1,5.9,6,1.8,0.8,2.5,2.4,14.9,0.426,0.403,0.745,balllo01
345,Naji Marshall,Projected,5.2,12.5,1.3,4.9,3.3,4.2,1.5,7.2,3.6,1.5,0.5,2.1,3.2,14.9,0.416,0.263,0.775,marshna01
340,Devin Cannady,Projected,5.1,12.3,2.8,7.1,2,2.7,0.8,4.1,2.9,1.3,0.7,1.6,2.8,14.9,0.413,0.389,0.772,cannade01
346,Georges Niang,Projected,5.3,12,3.3,8.1,1.1,1.2,0.7,4.7,2.1,0.7,0.3,1.4,3.8,14.9,0.438,0.405,0.871,niangge01
344,Alex Len,Projected,5.9,10.7,0.5,1.7,2.5,3.8,2.9,9.4,2.4,0.8,1.7,2.2,5,14.9,0.552,0.316,0.654,lenal01
342,Jeff Green,Projected,5.3,10.6,1.4,4.1,2.9,3.6,0.8,4.8,2,0.6,0.5,1.4,2.8,14.9,0.498,0.348,0.81,greenje02
350,Keon Johnson,Projected,5.3,13.8,1.8,5.1,2.3,2.8,1.3,4.8,4,1.4,0.7,2.2,3.3,14.8,0.388,0.357,0.808,johnske07
352,Isaiah Todd,Projected,5.4,12.9,1.9,6,2.1,3.2,1.6,6.6,3.2,1.4,0.8,2,2.6,14.8,0.417,0.325,0.662,toddis01
349,Darius Bazley,Projected,5.4,12.7,1.6,5.2,2.3,3.3,1.3,8.3,2,1,1.1,1.9,1.4,14.8,0.426,0.311,0.707,bazleda01
351,Patty Mills,Projected,5.1,12.6,3.4,8.8,1.1,1.3,0.4,2.6,3,0.8,0.2,1.3,1.9,14.8,0.408,0.385,0.843,millspa02
362,Tremont Waters,Projected,5.3,12.7,1.9,5.6,2.2,2.6,1,4.8,5.9,2,0.4,3,2.8,14.7,0.418,0.342,0.848,watertr01
358,Furkan Korkmaz,Projected,5.2,12.7,2.5,7.3,1.9,2.4,0.6,4.5,3,1.1,0.3,1.4,1.8,14.7,0.407,0.336,0.784,korkmfu01
353,Ignas Brazdeikis,Projected,5.6,12.6,1.8,5.4,1.7,2.4,1.6,5.5,2.8,0.8,0.3,1.4,3.1,14.7,0.442,0.333,0.705,brazdig01
357,Kevin Huerter,Projected,5.6,12.5,2.6,6.6,0.9,1.1,0.6,4.3,3.7,1.1,0.4,1.5,2.9,14.7,0.453,0.387,0.803,huertke01
356,Kentavious Caldwell-Pope,Projected,5.2,11.8,2.3,6,2,2.3,0.7,3.9,2.3,1.2,0.4,1.4,2.2,14.7,0.437,0.392,0.868,caldwke01
360,Trey Murphy III,Projected,4.9,11.7,2.8,7.3,2,2.3,1.9,6.4,2,1,0.4,0.9,2.5,14.7,0.417,0.39,0.863,murphtr02
355,Oshae Brissett,Projected,5,11.6,2,5.4,2.8,3.8,2.4,8.2,1.8,1.1,0.8,1.2,2.6,14.7,0.432,0.366,0.719,brissos01
359,Sandro Mamukelashvili,Projected,5.4,11,2,4.8,1.9,2.4,2.7,7.2,2.5,0.9,0.8,1.5,2.6,14.7,0.494,0.411,0.807,mamuksa01
354,Mikal Bridges,Projected,5.7,10.6,1.6,4.2,1.7,2.1,1,4.6,2.4,1.2,0.6,0.9,2,14.7,0.536,0.389,0.836,bridgmi01
361,Onyeka Okongwu,Projected,5.9,9,0.2,0.6,2.8,3.8,3.9,10,2,1.2,2,1.6,5.1,14.7,0.653,0.349,0.724,okongon01
363,Santi Aldama,Projected,5.7,13.1,1,4.9,2.2,3.2,2.8,8.2,2.7,0.8,0.9,1.7,3.3,14.6,0.432,0.21,0.683,aldamsa01
366,Cassius Stanley,Projected,5.3,12.5,1.4,4.6,2.5,2.9,1.6,6,2.1,1.1,0.6,1.5,3.6,14.6,0.428,0.304,0.856,stanlca01
365,RJ Nembhard Jr.,Projected,5.4,12.3,1.4,4.1,2.4,3,1.6,6,4.6,1,0.5,1.9,2.4,14.6,0.442,0.335,0.777,nembhrj01
367,P.J. Washington,Projected,5.4,11.6,2.2,5.7,1.6,2.2,1.7,7.2,3,1.2,1.3,1.9,3.1,14.6,0.466,0.379,0.73,washipj01
364,Moses Moody,Projected,5.2,11.3,2.3,6.2,1.9,2.4,1.2,5.3,1.9,0.6,0.6,1,2.5,14.6,0.459,0.377,0.787,moodymo01
373,Tyus Jones,Projected,5.7,12.7,1.7,4.5,1.3,1.6,0.5,4.2,7.4,1.6,0.1,1.3,1,14.5,0.452,0.376,0.827,jonesty01
372,Aaron Holiday,Projected,5.4,12.5,1.7,4.5,2.1,2.5,0.7,4,4.8,1.4,0.4,2.2,3,14.5,0.43,0.379,0.844,holidaa01
375,Théo Maledon,Projected,4.9,12.5,2,6,2.7,3.4,0.7,5,4.6,1.2,0.4,2.6,2.6,14.5,0.393,0.331,0.783,maledth01
374,Kevin Knox,Projected,5,12.5,2.3,6.8,2.1,2.9,1.4,6.1,2.1,0.9,0.6,1.4,3,14.5,0.401,0.343,0.738,knoxke01
371,Blake Griffin,Projected,5.2,12.4,1.7,5.8,2.4,3.3,1.7,7.6,4,1,0.5,1.6,3.4,14.5,0.418,0.293,0.737,griffbl01
368,Precious Achiuwa,Projected,5.8,12.4,1.1,2.9,1.9,3.2,3.1,9.9,1.8,0.8,0.9,1.8,3.3,14.5,0.467,0.367,0.595,achiupr01
369,Chaundee Brown Jr.,Projected,5.1,12.3,2,5.6,2.3,2.8,1.1,6.3,2.8,1,0.4,1.4,2.7,14.5,0.418,0.352,0.797,brownch05
377,Landry Shamet,Projected,4.8,11.8,3.1,8.1,1.8,2.1,0.4,3.3,2.7,0.7,0.3,1.1,2.5,14.5,0.409,0.38,0.839,shamela01
370,Dewayne Dedmon,Projected,5.6,10.5,0.8,2.3,2.5,3.3,3.3,12.2,1.8,0.9,1.3,2.4,5.7,14.5,0.54,0.342,0.752,dedmode01
376,Gary Payton II,Projected,6,10.3,1.3,3.7,1.2,1.8,2,7.1,2.1,2.6,0.6,1.3,3.8,14.5,0.586,0.354,0.637,paytoga02
379,Jarrett Culver,Projected,5.6,13.4,1.4,4.8,1.9,3.3,1.8,6.1,2.9,1.6,0.7,2,3.7,14.4,0.415,0.292,0.563,culveja01
386,Ricky Rubio,Projected,4.9,12.8,1.7,5.2,3,3.5,0.7,5.1,8.4,1.8,0.2,2.8,2.9,14.4,0.381,0.33,0.853,rubiori01
383,Svi Mykhailiuk,Projected,5.2,12.6,2.5,7.4,1.5,1.8,0.9,4.6,2.8,1.3,0.3,1.9,2.3,14.4,0.413,0.34,0.818,mykhasv01
387,Xavier Sneed,Projected,5.3,12.4,1.7,5.6,2.1,2.7,1.6,6.5,3.2,0.9,0.6,1.6,2.7,14.4,0.43,0.302,0.778,sneedxa01
382,Paul Millsap,Projected,5.4,12.2,1.3,4.1,2.2,3,2.7,8.6,2.9,1.3,1,1.8,4.4,14.4,0.445,0.324,0.74,millspa01
381,JaMychal Green,Projected,5.3,11.2,1.7,5.1,2.1,2.6,2.5,9.1,1.9,1.2,0.8,1.8,4.9,14.4,0.468,0.332,0.839,greenja01
385,David Nwaba,Projected,5.3,11.1,1.1,3.4,2.7,3.7,2.1,7.7,2.1,1.5,1.1,1.3,3.2,14.4,0.48,0.31,0.713,nwabada01
378,Amir Coffey,Projected,4.9,10.8,2.2,5.7,2.4,2.8,0.7,4.7,2.9,0.9,0.3,1.2,2.2,14.4,0.458,0.385,0.835,coffeam01
384,Zeke Nnaji,Projected,5.2,10.1,2,4.5,2,3,2.4,7.3,1.4,0.9,0.6,1.2,3.5,14.4,0.511,0.443,0.68,nnajize01
380,Anthony Gill,Projected,5.1,9.7,1.3,3,2.9,3.7,2.3,6.9,2.4,0.7,0.8,1.5,4.2,14.4,0.524,0.418,0.801,gillan01
391,Deividas Sirvydis,Projected,5.1,12.5,2.1,6.2,1.9,2.5,1,7.2,2.9,1.3,0.6,1.6,3,14.3,0.411,0.337,0.741,sirvyde01
389,Mychal Mulder,Projected,5.1,12.3,3.1,8.5,1.1,1.4,0.6,3.9,1.6,0.7,0.5,1.2,2.5,14.3,0.413,0.366,0.756,muldemy01
388,Jordan Bell,Projected,5.4,11.9,1.3,3.8,2.2,3.1,2.3,8.2,3.3,1.2,1.1,2.2,3.2,14.3,0.452,0.347,0.724,belljo01
390,Olivier Sarr,Projected,5.4,9.9,1.4,3.3,2.2,2.7,2.6,7.7,2.3,0.7,1.1,1.9,3.9,14.3,0.542,0.415,0.816,sarrol01
397,Denzel Valentine,Projected,5.3,13.7,2.7,7.8,0.8,0.9,1.1,6.7,3.2,1.2,0.3,1.7,2.8,14.2,0.392,0.35,0.83,valende01
393,Markieff Morris,Projected,5.4,12.6,1.9,5.9,1.4,1.8,1.5,6.9,2.5,0.8,0.5,2,3.5,14.2,0.432,0.331,0.768,morrima02
396,Matt Thomas,Projected,5,11.8,2.7,7.2,1.5,1.8,0.6,4.7,2.1,0.7,0.3,1.1,2,14.2,0.425,0.378,0.799,thomama02
392,Malcolm Hill,Projected,5,10.7,2.1,5.7,2.2,2.8,1.7,6.3,2.4,1.2,0.6,1.2,3.6,14.2,0.463,0.36,0.782,hillma01
395,Daniel Theis,Projected,5.6,10.7,1.2,3.6,1.8,2.6,2.2,8.3,2.1,0.8,1.2,1.6,4,14.2,0.525,0.319,0.695,theisda01
394,Chris Silva,Projected,4.9,9.7,0.9,2.5,3.4,4.4,3.4,10.2,3.1,0.7,1.1,2.8,5.9,14.2,0.511,0.367,0.765,silvach01
403,Raul Neto,Projected,5.4,11.7,1.2,3.7,2.1,2.6,0.5,3.9,4.9,1.5,0.2,1.9,2.8,14.1,0.462,0.336,0.799,netora01
404,Otto Porter Jr.,Projected,5.2,11.5,2.1,5.7,1.5,1.9,2,8.9,2.7,1.6,0.7,1.1,2.3,14.1,0.456,0.37,0.805,porteot01
405,Ziaire Williams,Projected,5.4,11.5,2.1,6.3,1.3,1.7,0.8,3.9,2,1,0.4,1.2,2.9,14.1,0.466,0.33,0.79,willizi02
398,Nemanja Bjelica,Projected,5.2,11.3,1.8,5,1.8,2.5,1.9,8.5,4.5,1.2,0.7,2.4,4,14.1,0.461,0.36,0.738,bjeline01
402,Abdel Nader,Projected,5.1,11.2,1.7,4.6,2.3,3.1,1,6,2.3,1.3,0.9,2.1,3.6,14.1,0.45,0.365,0.735,naderab01
400,Caleb Martin,Projected,5.2,11,1.7,4.5,1.9,2.6,1.7,6.1,2.1,1.5,0.7,1.4,2.8,14.1,0.476,0.371,0.74,martica02
399,Wenyen Gabriel,Projected,5.2,11,1.3,3.7,2.4,3.7,3.2,8.7,2,0.9,1,1.9,5.4,14.1,0.473,0.343,0.652,gabriwe01
401,Jalen McDaniels,Projected,5.2,10.8,1.6,4.3,2.1,2.8,1.6,6.9,2.4,1.1,0.8,1.6,3.6,14.1,0.482,0.37,0.739,mcdanja01
407,Donte DiVincenzo,Projected,4.8,12.1,2.5,7,1.8,2.3,1.5,6.9,4.1,1.6,0.3,2.2,2.4,14,0.401,0.359,0.799,divindo01
406,Darren Collison,Projected,5.2,12,1.5,4.8,2,2.6,1.2,6,3.3,1.1,0.6,1.9,3.3,14,0.436,0.309,0.769,collida01
410,Jake Layman,Projected,5.3,11.6,1.5,5,1.9,2.6,1,5,1.9,1.3,0.9,1.7,2.5,14,0.458,0.292,0.732,laymaja01
408,Tacko Fall,Projected,5.5,10.8,1,2.9,2,3.6,2.7,9.9,2.5,0.7,2.4,1.9,3.4,14,0.51,0.362,0.546,fallta01
409,Dwight Howard,Projected,5.2,8.8,0.4,0.9,3.4,5.5,4.5,13.8,1.6,1.1,1.5,2.4,5,14,0.588,0.387,0.609,howardw01
411,Dwight Powell,Projected,5.2,8.2,0.4,1.1,3.3,4.2,3.2,8,2.1,0.9,0.8,1.4,4.4,14,0.636,0.329,0.774,poweldw01
414,Malachi Flynn,Projected,5.1,12.7,2.1,6.1,1.5,2.1,0.7,4.7,4.9,1.4,0.3,1.3,2.8,13.9,0.403,0.338,0.739,flynnma01
412,Kyle Anderson,Projected,5.3,11.7,1.2,3.6,2,2.9,1.4,8.2,4.5,1.7,1.1,1.7,2.6,13.9,0.455,0.343,0.707,anderky01
415,Marcus Smart,Projected,4.8,11.6,2,6,2.4,3,0.7,4.2,6.2,1.8,0.4,2.4,2.7,13.9,0.412,0.333,0.795,smartma01
413,Wayne Ellington,Projected,4.8,11.4,3.5,9.1,0.8,1,0.5,3.6,2,0.9,0.3,1.1,2.1,13.9,0.419,0.389,0.795,ellinwa01
424,Aleksej Pokusevski,Projected,5.4,13.3,1.8,5.9,1.2,1.6,1.8,8.7,3.7,1,1.2,2.8,2.3,13.8,0.407,0.303,0.734,pokusal01
418,Langston Galloway,Projected,4.9,11.6,2.3,6.4,1.6,1.9,0.9,4.4,2.7,0.8,0.2,1.4,2.3,13.8,0.422,0.365,0.852,gallola01
425,Yves Pons,Projected,5.1,11.6,1.8,5,1.8,2.6,1.9,6.6,2.8,1,1.1,1.6,2.9,13.8,0.44,0.357,0.692,ponsyv01
419,Gary Harris,Projected,4.9,11.5,2.1,5.7,1.8,2.2,0.8,2.9,2.4,1.2,0.3,1.3,2.4,13.8,0.428,0.371,0.847,harriga01
420,Chandler Hutchison,Projected,5,11.5,1.2,3.3,2.6,3.4,1,7.5,2.6,1.3,0.6,2.2,3.1,13.8,0.436,0.359,0.751,hutchch01
426,Lamar Stevens,Projected,5.5,11.3,0.7,2.5,2.1,2.9,1.7,6.2,1.9,1.1,0.7,1.5,3.6,13.8,0.486,0.286,0.724,stevela01
421,Alize Johnson,Projected,5.4,11.2,0.8,2.6,2.1,2.9,4.1,11.7,2.8,1.1,0.5,2.2,3.3,13.8,0.488,0.301,0.75,johnsal02
416,Greg Brown III,Projected,5,11.2,1.3,3.8,2.6,3.6,2.1,7.6,2.4,1.4,1.2,2,4.5,13.8,0.449,0.336,0.707,browngr01
423,Norvel Pelle,Projected,5.3,11,1.2,3.2,2,2.8,2.2,7.9,2.6,0.8,1.9,2.2,4.2,13.8,0.483,0.357,0.728,pelleno01
422,Nassir Little,Projected,4.9,10.4,1.7,4.9,2.3,3,1.9,7.7,1.9,0.8,1.1,1.3,2.8,13.8,0.472,0.344,0.753,littlna01
417,Tyler Cook,Projected,5.3,9.2,0.6,1.5,2.6,4,2.3,8.2,1.8,0.8,0.5,1.6,3.6,13.8,0.577,0.371,0.648,cookty01
427,Armoni Brooks,Projected,4.8,12.6,3.2,9.9,1,1.2,0.9,4.8,2.7,1.1,0.5,1.3,2.9,13.7,0.378,0.327,0.793,brookar01
430,Aleem Ford,Projected,5.2,12.1,1.6,5.8,1.8,2.3,1.4,6.9,2.9,1,0.5,2,3,13.7,0.427,0.274,0.78,fordal03
431,R.J. Hampton,Projected,5,12,1.6,4.4,2.1,3.1,0.8,5.8,4,1.1,0.4,2.1,2.5,13.7,0.416,0.356,0.672,hamptrj01
436,Gabe Vincent,Projected,5,11.9,2.6,7.3,1.1,1.4,0.6,3.2,4.5,1.4,0.3,2.1,3.6,13.7,0.417,0.359,0.819,vincega01
432,Anthony Lamb,Projected,4.9,11.5,1.9,5.8,2,2.4,1.9,6.3,2.9,0.8,0.6,1.8,2.8,13.7,0.427,0.335,0.813,lamban01
435,Brodric Thomas,Projected,4.8,11.2,1.6,5.3,2.6,3.7,1.1,5.7,3.7,1.2,0.8,2.2,3.4,13.7,0.424,0.303,0.705,thomabr01
433,Terance Mann,Projected,5.2,10.6,1.2,3.2,2.1,2.6,1.6,6.7,3.3,0.9,0.4,1.3,2.9,13.7,0.491,0.377,0.79,mannte01
429,James Ennis III,Projected,4.8,10.4,1.7,4.4,2.5,3.1,1.7,6.4,2.4,1.1,0.5,1.5,3.3,13.7,0.46,0.383,0.797,ennisja01
428,Vlatko Čančar,Projected,5.1,10.3,1.5,3.9,2,2.7,1.6,6.6,3.1,1,0.6,1.9,3,13.7,0.495,0.385,0.732,cancavl01
434,Garrison Mathews,Projected,3.9,9.6,2.8,7.6,3,3.7,0.7,4,1.4,1.2,0.5,0.8,3.5,13.7,0.411,0.369,0.816,mathega01
439,Melvin Frazier,Projected,5.1,13.4,1.3,5.6,2,2.7,1.5,5.4,2.2,0.9,0.4,1.6,2.7,13.6,0.384,0.231,0.751,frazime01
440,Brandon Goodwin,Projected,5.1,12.3,1.7,5,1.9,2.7,0.9,5,5.6,1.4,0.2,2.3,2.7,13.6,0.412,0.333,0.685,goodwbr01
438,Sekou Doumbouya,Projected,5.1,12,1.4,4.8,2.1,2.9,1.6,6.3,2.2,1.2,0.6,1.9,3.5,13.6,0.421,0.284,0.731,doumbse01
446,Alfonzo McKinnie,Projected,5.3,11.8,1.7,4.9,1.3,2.2,2.2,6.5,1.6,0.9,0.5,1.4,3.9,13.6,0.447,0.341,0.599,mckinal01
443,Al Horford,Projected,5.2,11.5,1.7,5.1,1.4,1.7,1.8,8.9,4.2,0.9,1.4,1.3,2.4,13.6,0.453,0.337,0.819,horfoal01
448,Joe Wieskamp,Projected,4.7,11.3,2.2,6.5,1.8,2.7,1.1,4.4,2.6,0.9,0.6,1.1,2.6,13.6,0.421,0.345,0.674,wieskjo01
442,Quentin Grimes,Projected,4.8,11.1,3.1,8,1,1.3,1.2,4.8,2.4,1.4,0.6,1.4,3.2,13.6,0.428,0.389,0.732,grimequ01
445,Damion Lee,Projected,4.8,10.9,2,5.7,1.9,2.2,0.8,5.9,2.3,1.2,0.2,1.2,2.8,13.6,0.444,0.355,0.871,leeda03
444,Tre Jones,Projected,5.4,10.9,0.5,1.9,2.3,2.9,1,5,6.8,1.3,0.3,1.5,2.4,13.6,0.494,0.267,0.796,jonestr01
447,Xavier Tillman Sr.,Projected,5.4,10.9,0.8,2.7,1.9,2.9,2.9,8.3,3,2,0.9,1.7,3.4,13.6,0.5,0.288,0.67,tillmxa01
441,Hassani Gravett,Projected,5,10.5,2.1,5.4,1.6,2,0.9,5.6,4,1.1,0.5,2,2.8,13.6,0.47,0.393,0.773,graveha01
437,Tony Bradley,Projected,5.8,9.7,0.3,0.8,1.7,2.5,4.2,11.9,2.1,0.8,1.8,2,3.8,13.6,0.6,0.356,0.695,bradlto01
449,Bruce Brown,Projected,5.4,10.5,0.7,2,2.1,2.7,2.1,7.4,3.2,1.5,0.9,1.3,3.5,13.5,0.514,0.374,0.754,brownbr01
450,Elfrid Payton,Projected,5.7,13.4,0.6,2.2,1.5,2.5,1.5,5.7,5.9,1.4,0.4,2.7,2.7,13.4,0.422,0.283,0.595,paytoel01
452,Theo Pinson,Projected,4.6,11.9,1.9,6.5,2.2,2.6,1,5.8,4,1.2,0.6,1.9,3.1,13.4,0.387,0.297,0.871,pinsoth01
453,Tyrone Wallace,Projected,5,11.8,1.4,4.6,2,3.1,1,5.7,2.7,1.3,0.6,1.8,3.2,13.4,0.424,0.31,0.634,wallaty01
451,Jamorko Pickett,Projected,4.9,11.6,2.3,6.6,1.4,1.8,1.4,6.7,2.6,0.6,1.1,1.5,2.7,13.4,0.421,0.347,0.747,pickeja01
460,Justise Winslow,Projected,5.3,12.8,0.9,3.5,1.8,3,2,8.8,3.9,1.4,1,2.3,3.1,13.3,0.417,0.246,0.622,winslju01
454,Damyean Dotson,Projected,5.1,12,1.9,6.1,1.3,1.8,0.5,4.4,3.4,0.8,0.3,1.6,1.9,13.3,0.423,0.316,0.71,dotsoda01
456,Isaiah Joe,Projected,4.3,11.3,2.8,7.8,1.9,2.2,0.6,4,2.4,1,0.3,1.2,2.8,13.3,0.385,0.354,0.86,joeis01
458,Daishen Nix,Projected,4.8,10.7,1.4,4.2,2.4,3.8,1.2,5.5,5,1.8,0.3,2.9,2.8,13.3,0.446,0.324,0.629,nixda01
455,Juancho Hernangómez,Projected,4.6,10.7,2,5.9,2.1,3.3,1.9,8,1.8,1,0.6,1.3,2.2,13.3,0.432,0.341,0.624,hernaju01
459,Tristan Thompson,Projected,5.4,10.6,0.2,0.6,2.2,3.9,4.5,11.4,1.9,0.8,0.9,1.9,3.5,13.3,0.513,0.337,0.569,thomptr01
457,Corey Kispert,Projected,4.9,10.5,2.3,6.3,1.2,1.4,1.1,4.5,1.9,0.8,0.5,1.1,1.9,13.3,0.466,0.359,0.859,kispeco01
464,Luke Kornet,Projected,5.2,11.4,1.4,5.1,1.4,1.9,2.1,7.2,2.9,0.8,1.8,1,2.8,13.2,0.455,0.28,0.717,kornelu01
463,Mamadi Diakite,Projected,5.2,10.8,0.8,2.8,2,2.8,2.4,9.1,2,1.2,1.3,1.5,4.6,13.2,0.482,0.279,0.704,diakima01
465,Saben Lee,Projected,4.6,10.6,0.8,2.9,3.1,4.1,1.1,5.3,6.7,1.8,0.7,2.2,2.9,13.2,0.438,0.287,0.76,leesa01
461,D.J. Augustin,Projected,4.2,10.4,2.5,6.4,2.3,2.6,0.6,3.2,5,0.8,0.1,2.2,1.8,13.2,0.408,0.386,0.877,augusdj01
462,Keita Bates-Diop,Projected,5.2,10.4,0.9,2.8,1.9,2.6,2.1,8.1,1.8,1.1,0.6,1.6,2.3,13.2,0.496,0.324,0.745,bateske01
466,Robert Williams,Projected,5.8,8.2,0.1,0.4,1.5,2.1,4.6,11.8,2.7,1.2,2.7,1.4,3,13.2,0.709,0.34,0.704,williro04
474,Ish Smith,Projected,5.7,13.3,0.9,2.5,0.8,1.2,0.8,4.9,7,1.4,0.7,2.2,2.5,13.1,0.43,0.363,0.659,smithis01
467,Justin Anderson,Projected,4.7,11.7,1.8,6.3,1.9,2.5,0.8,5.8,3.7,1,0.7,1.3,2.7,13.1,0.404,0.278,0.777,anderju01
468,Haywood Highsmith,Projected,4.8,11.6,1.9,5.7,1.5,2.2,1.9,6.2,2.5,0.8,0.7,1.4,2.9,13.1,0.416,0.34,0.686,highsha01
471,Timothé Luwawu-Cabarrot,Projected,4.4,11.1,2.4,6.9,1.8,2.2,1,4.7,2.3,1,0.3,1.4,3.7,13.1,0.399,0.345,0.832,luwawti01
470,Didi Louzada,Projected,4.7,11.1,2.1,5.7,1.6,1.9,1.4,5.6,2.7,0.9,0.6,1.7,3.2,13.1,0.425,0.373,0.809,louzama01
472,Rodney McGruder,Projected,4.8,10.9,2.3,6.1,1.1,1.6,1.4,5.5,2.4,1.1,0.4,1.3,2.8,13.1,0.443,0.383,0.725,mcgruro01
475,Aaron Wiggins,Projected,4.9,10.4,1.3,4.2,2,2.6,1.5,5.5,2.3,0.9,0.4,1.6,2.7,13.1,0.471,0.319,0.742,wiggiaa01
473,Juwan Morgan,Projected,4.9,10.2,1.5,4.1,1.7,2.4,1.9,6.6,2.9,0.9,0.5,1.5,3.7,13.1,0.483,0.365,0.717,morgaju01
469,Isaiah Livers,Projected,4.6,9.9,2.4,5.8,1.6,1.9,1.5,5.8,2.5,1.2,0.7,1.6,3.3,13.1,0.466,0.411,0.819,liveris01
476,Patrick Williams,Projected,4.9,9.7,1.2,2.8,2,2.7,1.3,6.2,1.9,1.1,0.8,1.6,2.3,13.1,0.505,0.429,0.746,willipa01
479,David Duke Jr.,Projected,4.8,11.9,1.3,4.3,2.1,2.6,2.7,7.1,2.5,1.4,0.7,1.3,3.4,13,0.407,0.295,0.803,dukeda01
480,Aaron Nesmith,Projected,4.8,11.1,2,6.4,1.5,1.9,1.2,6.3,1.7,1.1,0.4,1.7,4.2,13,0.429,0.317,0.801,nesmiaa01
481,Jeremiah Robinson-Earl,Projected,4.8,11,2,5.4,1.5,2,2.4,9,1.9,1,0.5,1.4,2.5,13,0.433,0.363,0.756,robinje02
478,Justin Champagnie,Projected,4.9,10.3,1.5,4.2,1.7,2,3.7,8.5,2.3,1.1,0.6,1.4,3.6,13,0.476,0.368,0.865,champju01
477,Thanasis Antetokounmpo,Projected,5.2,10.2,0.5,2.1,2.1,3.4,2.9,7.6,2.5,1.3,0.8,2.3,4.7,13,0.509,0.258,0.613,antetth01
482,Zavier Simpson,Projected,5,11.9,1,3.4,1.8,2.1,1,5.5,5,1.1,0.8,2,3,12.9,0.423,0.302,0.834,simpsza01
483,Dennis Smith Jr.,Projected,4.9,11.6,0.9,2.9,2.2,3.3,1.2,5.3,6.7,2.2,0.8,2.7,3.1,12.9,0.42,0.305,0.676,smithde03
484,Yuta Watanabe,Projected,4.6,10.7,2,5.4,1.8,2.6,1.6,7.5,2.1,1.1,1.1,1.4,3,12.9,0.428,0.363,0.68,watanyu01
488,Javonte Smart,Projected,4.7,11.8,1.7,5,1.7,2.1,1.2,5.5,3.3,1.1,0.6,2,2.5,12.8,0.399,0.332,0.797,smartja01
486,PJ Dozier,Projected,4.8,11.7,1.6,5,1.5,2.1,1.3,6.3,3.3,1.1,0.7,1.6,3.1,12.8,0.414,0.327,0.704,doziepj01
487,Justin Holiday,Projected,4.5,11.1,2.9,7.9,1,1.3,0.6,3.8,2.2,1.1,0.6,1.1,2.6,12.8,0.401,0.369,0.794,holidju01
485,Pat Connaughton,Projected,4.6,10.1,2.7,7,1,1.2,1.2,6.5,2,1.2,0.4,0.9,2,12.8,0.45,0.382,0.806,connapa01
489,Isaiah Stewart,Projected,5.3,10,0.5,1.3,1.6,2.2,4.3,11.9,1.8,0.6,1.7,1.7,4.1,12.8,0.532,0.347,0.728,stewais01
491,Jeff Dowtin,Projected,4.8,11.4,1.3,4.3,1.8,2.3,2,6.5,3.6,1.4,0.6,1.9,2.4,12.7,0.421,0.293,0.805,dowtije01
495,Frank Ntilikina,Projected,4.6,11.2,2,5.4,1.5,1.8,0.8,4.4,3.8,1.5,0.5,1.7,3.5,12.7,0.413,0.367,0.824,ntilila01
494,Jaden McDaniels,Projected,4.9,10.5,1.7,4.9,1.1,1.5,1.5,5.9,1.8,1,1.2,1.4,4.2,12.7,0.469,0.343,0.767,mcdanja02
490,Patrick Beverley,Projected,4.3,10.5,2.1,5.9,2,2.8,1.5,5.8,5.5,1.5,1.1,1.8,4.3,12.7,0.41,0.353,0.729,beverpa01
492,Danuel House Jr.,Projected,4.3,10.4,2.2,6,1.9,2.6,0.9,5.4,2.3,1,0.7,1.5,2.6,12.7,0.415,0.362,0.738,houseda01
